doc_id,item,category,amount,price,discount
DgkZhXLyqr,Bread Knife,Knives,1,22.99,4.83
DgkZhXLyqr,Toaster,Appliances,3,39.99,9.2
PNgHVzJSrl,Food Containers,Storage,3,27.99,0
PNgHVzJSrl,Blender,Appliances,3,49.99,0
PNgHVzJSrl,Chef's Knife,Knives,3,45.99,10.58
PNgHVzJSrl,Dutch Oven,Cookware,1,79.99,0
iQQBixtg35,Cake Pan,Bakeware,1,15.99,3.68
eNHy0P5oEM,Plates,Dishes,2,29.99,0
eNHy0P5oEM,Microfiber Cloths,Cleaning,3,6.99,1.12
eNHy0P5oEM,Blender,Appliances,1,49.99,0
eNHy0P5oEM,Spice Rack,Storage,3,21.99,0
sr0x0T6pb6,Blender,Appliances,2,49.99,9.0
sr0x0T6pb6,Microwave,Appliances,3,89.99,17.1
sr0x0T6pb6,Plates,Dishes,1,29.99,0
sr0x0T6pb6,Saucepan,Cookware,3,19.99,0
gVV7qWi9Au,Saucepan,Cookware,1,19.99,2.2
dx2KyBg1BU,Food Containers,Storage,3,27.99,0
dx2KyBg1BU,Saucepan,Cookware,2,19.99,0
