doc_id,item,category,amount,price,discount
fWtA9bDxNH,Glasses,Dishes,3,19.99,0
VSbhWOn1jn,Glasses,Dishes,3,19.99,1.0
VSbhWOn1jn,Kitchen Towels,Textile,1,9.99,0
VSbhWOn1jn,Kitchen Towels,Textile,2,9.99,1.8
JZNCxOOg6Y,Toaster,Appliances,2,39.99,0
JZNCxOOg6Y,Glasses,Dishes,2,19.99,4.2
JZNCxOOg6Y,Microfiber Cloths,Cleaning,1,6.99,0
RgD4KuFOCt,Bowls,Dishes,2,24.99,0
RgD4KuFOCt,Microfiber Cloths,Cleaning,2,6.99,0.63
RgD4KuFOCt,Dutch Oven,Cookware,3,79.99,0
Hy2QRLPVlR,Glasses,Dishes,2,19.99,1.4
Hy2QRLPVlR,Muffin Tin,Bakeware,3,18.99,1.9
Hy2QRLPVlR,Oven Mitts,Textile,3,12.99,0
Hy2QRLPVlR,Bread Knife,Knives,2,22.99,0
SBo0ODihVV,Glasses,Dishes,1,19.99,5.4
n9cSopg8Ei,Dutch Oven,Cookware,1,79.99,0
n9cSopg8Ei,Kitchen Towels,Textile,3,9.99,0
n9cSopg8Ei,Loaf Pan,Bakeware,3,12.99,1.17
