doc_id,item,category,amount,price,discount
5eJvMQReK4,Glasses,Dishes,2,19.99,0
5eJvMQReK4,Dish Soap,Cleaning,2,4.99,0
5eJvMQReK4,Glasses,Dishes,1,19.99,0
5eJvMQReK4,Wok,Cookware,1,34.99,8.75
5eJvMQReK4,Bowls,Dishes,3,24.99,3.5
qCFJZ8coDt,Microfiber Cloths,Cleaning,2,6.99,0
qCFJZ8coDt,Loaf Pan,Bakeware,1,12.99,3.51
qCFJZ8coDt,Chef's Knife,Knives,1,45.99,9.2
qCFJZ8coDt,Bowls,Dishes,1,24.99,0
qCFJZ8coDt,Sponges,Cleaning,2,3.99,0
s6fbYSSR6C,Bowls,Dishes,2,24.99,0
s6fbYSSR6C,Bowls,Dishes,2,24.99,7.0
dDgoAkmO1z,Blender,Appliances,3,49.99,0
dDgoAkmO1z,Glasses,Dishes,2,19.99,0
mlXk94TO2z,Wok,Cookware,1,34.99,0
mlXk94TO2z,Bowls,Dishes,3,24.99,7.5
mlXk94TO2z,Frying Pan,Cookware,2,25.99,0
mlXk94TO2z,Glasses,Dishes,1,19.99,0
mlXk94TO2z,Apron,Textile,1,15.99,0
52rndkljM9,Apron,Textile,3,15.99,0
QujqIGu87q,Kitchen Towels,Textile,1,9.99,0
QujqIGu87q,Spice Rack,Storage,1,21.99,0
QujqIGu87q,Cake Pan,Bakeware,2,15.99,2.4
XwC22q3njx,Chef's Knife,Knives,2,45.99,10.12
XwC22q3njx,Dish Rack,Storage,2,18.99,2.28
XwC22q3njx,Glasses,Dishes,3,19.99,0
