doc_id,item,category,amount,price,discount
TJB71mLZRy,Dutch Oven,Cookware,3,79.99,17.6
TJB71mLZRy,Sponges,Cleaning,2,3.99,0
TJB71mLZRy,Loaf Pan,Bakeware,1,12.99,0
TJB71mLZRy,Toaster,Appliances,1,39.99,0
ETK7sT7hOJ,Spice Rack,Storage,3,21.99,3.3
ETK7sT7hOJ,Muffin Tin,Bakeware,3,18.99,0
ETK7sT7hOJ,Glasses,Dishes,3,19.99,0
ETK7sT7hOJ,Frying Pan,Cookware,2,25.99,0
D1NGRYBQ3S,Bread Knife,Knives,3,22.99,0
D1NGRYBQ3S,Chef's Knife,Knives,2,45.99,10.12
D1NGRYBQ3S,Kitchen Towels,Textile,1,9.99,0
XeF357OT8J,Blender,Appliances,3,49.99,0
XeF357OT8J,Dish Rack,Storage,1,18.99,0
XeF357OT8J,Paring Knife,Knives,2,14.99,2.1
XeF357OT8J,Loaf Pan,Bakeware,1,12.99,2.6
XeF357OT8J,Apron,Textile,2,15.99,0
ixMQTDZBGl,Dutch Oven,Cookware,1,79.99,0
ixMQTDZBGl,Wok,Cookware,3,34.99,0
ixMQTDZBGl,Toaster,Appliances,2,39.99,0
rOo1dL38kw,Food Containers,Storage,3,27.99,4.48
rOo1dL38kw,Toaster,Appliances,1,39.99,0
rOo1dL38kw,Toaster,Appliances,3,39.99,0
tDj2nnuvwA,Blender,Appliances,1,49.99,0
tDj2nnuvwA,Toaster,Appliances,2,39.99,0
tDj2nnuvwA,Sponges,Cleaning,3,3.99,0
tDj2nnuvwA,Dish Rack,Storage,1,18.99,4.75
VMWyjm7jbb,Microwave,Appliances,3,89.99,0
LJoExcsYxB,Oven Mitts,Textile,2,12.99,2.6
LJoExcsYxB,Microfiber Cloths,Cleaning,3,6.99,1.96
LJoExcsYxB,Loaf Pan,Bakeware,2,12.99,0
LJoExcsYxB,Microwave,Appliances,3,89.99,4.5
LJoExcsYxB,Cake Pan,Bakeware,2,15.99,3.52
YINZLnACSl,Sponges,Cleaning,3,3.99,1.04
YINZLnACSl,Bread Knife,Knives,3,22.99,0
YINZLnACSl,Dutch Oven,Cookware,2,79.99,20.0
