doc_id,item,category,amount,price,discount
V7GIB7OZRs,Kitchen Towels,Textile,1,9.99,2.5
V7GIB7OZRs,Blender,Appliances,1,49.99,13.5
V7GIB7OZRs,Glasses,Dishes,2,19.99,5.2
V7GIB7OZRs,Microwave,Appliances,1,89.99,0
V7GIB7OZRs,Dish Rack,Storage,2,18.99,2.09
G0qmyGAoCl,Cake Pan,Bakeware,3,15.99,0
G0qmyGAoCl,Dish Soap,Cleaning,2,4.99,1.05
G0qmyGAoCl,Glasses,Dishes,2,19.99,0
6iF8yXnEII,Apron,Textile,1,15.99,0
6iF8yXnEII,Blender,Appliances,1,49.99,0
6iF8yXnEII,Bread Knife,Knives,2,22.99,0
6iF8yXnEII,Microfiber Cloths,Cleaning,3,6.99,0
6iF8yXnEII,Frying Pan,Cookware,2,25.99,0
7salwtbmjf,Saucepan,Cookware,2,19.99,5.6
7salwtbmjf,Cake Pan,Bakeware,2,15.99,0
ltsrL0CnVF,Saucepan,Cookware,3,19.99,0
