doc_id,item,category,amount,price,discount
oFVJDFN1xI,Dish Rack,Storage,3,18.99,0
oFVJDFN1xI,Kitchen Towels,Textile,1,9.99,0
oFVJDFN1xI,Oven Mitts,Textile,2,12.99,1.69
oFVJDFN1xI,Dish Rack,Storage,1,18.99,0
UYw36k5j0y,Apron,Textile,3,15.99,0
UYw36k5j0y,Spice Rack,Storage,3,21.99,5.5
UYw36k5j0y,Wok,Cookware,1,34.99,7.0
UYw36k5j0y,Dish Rack,Storage,3,18.99,0
XHFw6Ir54K,Toaster,Appliances,2,39.99,0
XHFw6Ir54K,Dish Soap,Cleaning,2,4.99,0.6
XHFw6Ir54K,Apron,Textile,1,15.99,0.8
XHFw6Ir54K,Dish Rack,Storage,3,18.99,1.33
XHFw6Ir54K,Microwave,Appliances,2,89.99,0
uNv7HOrg0h,Mugs,Dishes,1,14.99,3.15
uNv7HOrg0h,Glasses,Dishes,1,19.99,0
R26t6FHhsA,Kitchen Towels,Textile,3,9.99,0
I0WKRgfvgV,Glasses,Dishes,3,19.99,0
I0WKRgfvgV,Food Containers,Storage,3,27.99,3.08
I0WKRgfvgV,Paring Knife,Knives,3,14.99,0
ZVKfOE2QrJ,Loaf Pan,Bakeware,3,12.99,0
ZVKfOE2QrJ,Dish Soap,Cleaning,2,4.99,0
E3zgUkTFRe,Apron,Textile,2,15.99,0
E3zgUkTFRe,Saucepan,Cookware,3,19.99,0
E3zgUkTFRe,Sponges,Cleaning,1,3.99,0
E3zgUkTFRe,Toaster,Appliances,2,39.99,3.2
E3zgUkTFRe,Toaster,Appliances,3,39.99,6.0
gLW78UD1tW,Muffin Tin,Bakeware,1,18.99,3.61
gLW78UD1tW,Frying Pan,Cookware,2,25.99,0
gLW78UD1tW,Spice Rack,Storage,3,21.99,0
gLW78UD1tW,Glasses,Dishes,1,19.99,0
